composer_id,technique_id,reason,strength,confidence,status
leonin-1135,organum,"Léonin is credited with developing early polyphonic organum, layering a sustained chant melody with one or more added voices in parallel motion.",0.90,1.00,pending
leonin-1135,isorhythm,"Léonin's compositions show early use of repeated rhythmic patterns underlying melodic lines, a precursor to isorhythmic techniques.",0.60,0.80,pending
leonin-1135,modalism,"His works are based on medieval church modes, employing modal scales rather than modern major/minor tonality.",0.80,1.00,pending
leonin-1135,cantus-firmus,"Léonin used the cantus firmus technique by placing a pre-existing chant melody in the tenor voice as the foundation for polyphonic elaboration.",0.85,1.00,pending
leonin-1135,counterpoint,"His compositions involve the combination of independent melodic lines, an early form of counterpoint.",0.90,1.00,pending
perotin-1160,isorhythm,"Pérotin used isorhythmic techniques in his compositions, structuring repeated rhythmic patterns combined with melodic lines, especially in motets.",0.70,0.90,pending
perotin-1160,cantus-firmus,"He employed cantus firmus technique by using a pre-existing chant melody as the foundation for polyphonic elaboration.",0.80,0.95,pending
perotin-1160,counterpoint,"Pérotin was a master of early polyphonic counterpoint, developing complex interweaving vocal lines in his organum and motets.",1.00,1.00,pending
perotin-1160,modalism,"His music is based on medieval modal systems rather than tonal harmony, reflecting the modal technique of the time.",0.90,1.00,pending
perotin-1160,polyrhythm,"Pérotin's compositions often feature simultaneous contrasting rhythmic patterns, an early form of polyrhythm.",0.60,0.85,pending
guillaume-de-machaut-1300,isorhythm,"Machaut extensively used isorhythm in his motets, structuring repeated rhythmic patterns with varying melodic lines.",0.90,1.00,pending
guillaume-de-machaut-1300,cantus-firmus,"He employed cantus firmus technique by using pre-existing chant melodies as a foundation for polyphonic compositions.",0.80,1.00,pending
guillaume-de-machaut-1300,counterpoint,"Machaut's compositions demonstrate sophisticated counterpoint, weaving multiple independent melodic lines.",0.85,1.00,pending
guillaume-de-machaut-1300,modalism,"His music is based on medieval modal systems rather than tonal harmony, reflecting the modal technique of the period.",0.90,1.00,pending
guillaume-dufay-1400,isorhythm,"Dufay employed isorhythmic techniques in his motets, using repeating rhythmic patterns combined with melodic lines to structure his compositions.",0.80,0.90,pending
guillaume-dufay-1400,cantus-firmus,"He frequently used cantus firmus technique, incorporating pre-existing chant melodies as a structural basis for his polyphonic works.",0.90,1.00,pending
guillaume-dufay-1400,counterpoint,"Counterpoint was central to Dufay's style, as he skillfully interwove independent melodic lines in his sacred and secular compositions.",1.00,1.00,pending
guillaume-dufay-1400,modalism,"Dufay composed within the modal system typical of the 15th century, using church modes as the basis for melody and harmony.",0.90,1.00,pending
johannes-ockeghem-1420,counterpoint,"Ockeghem was renowned for his complex and fluid contrapuntal writing, often weaving multiple independent melodic lines with great skill.",1.00,1.00,pending
johannes-ockeghem-1420,cantus-firmus,"He frequently used cantus firmus technique, building masses and motets around a pre-existing melody, often drawn from Gregorian chant.",0.90,1.00,pending
johannes-ockeghem-1420,modalism,"His compositions are grounded in the modal system of the Renaissance, employing modes rather than tonal harmony.",0.80,1.00,pending
johannes-ockeghem-1420,isorhythm,"Ockeghem occasionally used isorhythmic techniques, especially in his motets, where repeating rhythmic patterns structure the tenor voice.",0.50,0.80,pending
jacob-obrecht-1450,cantus-firmus,"Jacob Obrecht frequently used cantus firmus technique, building polyphonic compositions around a pre-existing melody, often a Gregorian chant.",0.80,0.90,pending
jacob-obrecht-1450,counterpoint,"Obrecht was renowned for his complex and skillful use of counterpoint, weaving multiple independent melodic lines together.",1.00,1.00,pending
jacob-obrecht-1450,isorhythm,"He employed isorhythmic techniques in some of his motets, structuring repeated rhythmic patterns with varying melodic lines.",0.60,0.80,pending
jacob-obrecht-1450,modalism,"Obrecht composed within the modal system typical of the late medieval and early Renaissance periods, using church modes as the basis for his melodies and harmonies.",0.90,1.00,pending
josquin-des-prez-1450,cantus-firmus,"Josquin frequently used cantus firmus technique by incorporating pre-existing melodies as structural foundations in his masses and motets.",0.80,1.00,pending
josquin-des-prez-1450,counterpoint,"He was renowned for his mastery of counterpoint, skillfully interweaving independent melodic lines to create rich polyphonic textures.",1.00,1.00,pending
josquin-des-prez-1450,modalism,"Josquin composed within the modal system typical of the Renaissance, employing modes rather than tonal harmony.",0.90,1.00,pending
josquin-des-prez-1450,isorhythm,"He occasionally used isorhythmic techniques, especially in earlier motets, structuring repeated rhythmic patterns with varying melodic lines.",0.40,0.80,pending
josquin-des-prez-1450,ostinato,"Josquin sometimes employed ostinato patterns to provide rhythmic or melodic repetition within his compositions.",0.30,0.70,pending
josquin-des-prez-1450,theme-and-variations,"He used theme and variations techniques in some secular and sacred works, elaborating on melodic material through variation.",0.30,0.70,pending
clement-janequin-1485,counterpoint,"Janequin extensively used polyphonic counterpoint, a hallmark of Renaissance vocal music, to create intricate interweaving vocal lines.",0.90,1.00,pending
clement-janequin-1485,cantus-firmus,"He employed cantus firmus technique by basing compositions on pre-existing melodies, often plainchant or popular tunes, as structural foundations.",0.70,0.90,pending
clement-janequin-1485,modalism,"His music is grounded in the modal system typical of the Renaissance period, using church modes rather than tonal harmony.",0.80,1.00,pending
clement-janequin-1485,ostinato,"Janequin occasionally used repeated melodic or rhythmic patterns to provide structural and textural unity in his chansons.",0.50,0.80,pending
clement-janequin-1485,through-composed,"Many of his programmatic chansons are through-composed, with continuous development of musical material to depict narrative or sound effects.",0.60,0.85,pending
john-taverner-1490,cantus-firmus,"Taverner frequently used cantus firmus technique, incorporating pre-existing chant melodies as structural foundations in his masses.",0.80,0.90,pending
john-taverner-1490,counterpoint,"His compositions are characterized by intricate polyphonic counterpoint, a hallmark of Renaissance sacred music.",1.00,1.00,pending
john-taverner-1490,modalism,"Taverner's music is firmly rooted in the modal system typical of early 16th-century English sacred music.",0.90,1.00,pending
john-taverner-1490,isorhythm,"Some of his works show use of isorhythmic techniques, especially in motets, reflecting medieval compositional practices.",0.30,0.70,pending
thomas-tallis-1505,cantus-firmus,"Talllis frequently used a cantus firmus as a structural basis in his polyphonic compositions, especially in his early works.",0.80,0.90,pending
thomas-tallis-1505,counterpoint,"He was a master of Renaissance counterpoint, employing intricate interweaving of independent melodic lines.",1.00,1.00,pending
thomas-tallis-1505,modalism,"Tallis composed within the modal system typical of the Renaissance period, using church modes rather than tonal harmony.",0.90,1.00,pending
thomas-tallis-1505,isorhythm,"In some of his earlier motets, Tallis used isorhythmic techniques, repeating rhythmic patterns in the tenor voice.",0.40,0.70,pending
giovanni-pierluigi-da-palestrina-1525,counterpoint,"Palestrina is renowned for his mastery of Renaissance polyphonic counterpoint, carefully balancing independent melodic lines to create harmonious textures.",1.00,1.00,pending
giovanni-pierluigi-da-palestrina-1525,cantus-firmus,"He frequently used cantus firmus technique, building complex polyphony around a pre-existing melody, often a Gregorian chant.",0.80,1.00,pending
giovanni-pierluigi-da-palestrina-1525,modalism,"His compositions are grounded in the modal system of the Renaissance, employing church modes rather than tonal harmony.",0.90,1.00,pending
orlande-de-lassus-1532,counterpoint,"Orlande de Lassus was renowned for his mastery of Renaissance polyphonic counterpoint, skillfully interweaving independent melodic lines.",1.00,1.00,pending
orlande-de-lassus-1532,cantus-firmus,"He frequently used cantus firmus technique, basing compositions on pre-existing melodies as structural foundations.",0.70,0.90,pending
orlande-de-lassus-1532,modalism,"His works are grounded in the modal system typical of the Renaissance period, employing church modes rather than tonal harmony.",0.90,1.00,pending
orlande-de-lassus-1532,isorhythm,"Some of his motets exhibit isorhythmic structures, a technique inherited from earlier medieval traditions.",0.40,0.70,pending
orlande-de-lassus-1532,ostinato,"Occasionally used repeating melodic or rhythmic patterns (ostinato) to unify sections of his compositions.",0.30,0.60,pending
william-byrd-1540,counterpoint,"William Byrd extensively used intricate counterpoint in his vocal and instrumental compositions, a hallmark of Renaissance polyphony.",1.00,1.00,pending
william-byrd-1540,cantus-firmus,"Byrd employed cantus firmus technique in many of his masses and motets, building polyphonic textures around a fixed melody.",0.80,1.00,pending
william-byrd-1540,modalism,"His music is grounded in the modal system typical of the Renaissance period, using church modes rather than tonal harmony.",0.90,1.00,pending
william-byrd-1540,ground-bass,"Byrd used ground bass patterns in some of his keyboard and consort music to create repeating harmonic foundations.",0.60,0.80,pending
william-byrd-1540,ostinato,"Ostinato figures appear in Byrd's instrumental works, providing rhythmic and harmonic repetition.",0.50,0.70,pending
tomas-luis-de-victoria-1549,counterpoint,"Victoria extensively used intricate counterpoint, a hallmark of Renaissance polyphony, to create complex interweaving vocal lines.",1.00,1.00,pending
tomas-luis-de-victoria-1549,cantus-firmus,"He employed cantus firmus technique by basing compositions on pre-existing chant melodies as structural foundations.",0.80,0.90,pending
tomas-luis-de-victoria-1549,modalism,"Victoria's music is grounded in modal systems typical of the Renaissance, using church modes rather than tonal harmony.",1.00,1.00,pending
tomas-luis-de-victoria-1549,ostinato,"Some of his motets and masses feature repeated melodic or rhythmic patterns functioning as ostinatos to unify sections.",0.40,0.70,pending
carlo-gesualdo-1561,counterpoint,"Gesualdo extensively used complex counterpoint in his madrigals, combining multiple independent vocal lines with intricate harmonic interplay.",0.90,1.00,pending
carlo-gesualdo-1561,modalism,"His compositions often employ modal techniques characteristic of late Renaissance music, using modes rather than strict major/minor tonality.",0.80,1.00,pending
carlo-gesualdo-1561,atonality,"Gesualdo is noted for his daring chromaticism and dissonances that sometimes approach atonality, creating intense emotional effects.",0.70,0.90,pending
carlo-gesualdo-1561,through-composed,"Many of Gesualdo's madrigals are through-composed, avoiding repetitive forms and continuously developing musical material.",0.60,0.80,pending
jan-pieterszoon-sweelinck-1562,counterpoint,"Sweelinck was renowned for his mastery of contrapuntal writing, especially in his keyboard and vocal works, reflecting the polyphonic style of the late Renaissance and early Baroque periods.",1.00,1.00,pending
jan-pieterszoon-sweelinck-1562,cantus-firmus,"He frequently used cantus firmus techniques in his compositions, building elaborate polyphonic structures around a fixed melody.",0.70,0.90,pending
jan-pieterszoon-sweelinck-1562,ostinato,"Sweelinck employed ostinato patterns, particularly in his keyboard works, to create rhythmic and harmonic foundations.",0.60,0.80,pending
jan-pieterszoon-sweelinck-1562,theme-and-variations,"He developed theme and variations techniques in his keyboard compositions, elaborating on melodic material through successive transformations.",0.70,0.85,pending
jan-pieterszoon-sweelinck-1562,modalism,"Sweelinck's music is grounded in modal practice, typical of the Renaissance tradition, before the full establishment of tonal harmony.",0.90,1.00,pending
john-dowland-1563,counterpoint,"Dowland extensively used counterpoint in his lute songs and consort music, weaving independent melodic lines together.",0.90,1.00,pending
john-dowland-1563,ground-bass,"He frequently employed ground bass patterns as a structural foundation in his compositions, especially in his instrumental works.",0.80,1.00,pending
john-dowland-1563,modalism,"Dowland's music is characterized by the use of modal scales typical of the Renaissance period, rather than tonal harmony.",0.85,1.00,pending
john-dowland-1563,theme-and-variations,"He used theme and variations form in some of his lute pieces, elaborating on melodic material with variations.",0.60,0.90,pending
claudio-monteverdi-1567,counterpoint,"Monteverdi extensively used counterpoint in his madrigals and sacred music, blending multiple independent melodic lines.",0.90,1.00,pending
claudio-monteverdi-1567,ground-bass,"He employed ground bass patterns, especially in his operas and sacred works, to provide harmonic foundation and continuity.",0.70,1.00,pending
claudio-monteverdi-1567,modalism,"Monteverdi's music reflects the modal system of the late Renaissance transitioning into early Baroque tonality.",0.80,1.00,pending
claudio-monteverdi-1567,ostinato,"He used ostinato figures to create rhythmic and harmonic repetition, particularly in vocal and instrumental pieces.",0.60,0.90,pending
claudio-monteverdi-1567,through-composed,"Monteverdi often composed madrigals and operatic scenes in a through-composed style to follow the text expressively without strict repetition.",0.70,0.95,pending
claudio-monteverdi-1567,theme-and-variations,"Some of Monteverdi's instrumental works and vocal pieces show variation techniques on melodic or harmonic material.",0.40,0.80,pending
michael-praetorius-1571,cantus-firmus,"Praetorius frequently used cantus firmus techniques in his sacred vocal compositions, building polyphonic textures around a fixed melody.",0.70,0.90,pending
michael-praetorius-1571,counterpoint,"His works demonstrate extensive use of counterpoint, typical of late Renaissance and early Baroque sacred music.",1.00,1.00,pending
michael-praetorius-1571,modalism,"Praetorius composed within modal frameworks, reflecting the modal system prevalent before the full establishment of tonal harmony.",0.80,0.95,pending
michael-praetorius-1571,ostinato,"Some of his instrumental and vocal pieces employ ostinato patterns to provide rhythmic and harmonic foundation.",0.40,0.70,pending
