from,to,reason,strength,confidence,divergence,status
leonin-1135,perotin-1160,"Léonin was a predecessor and likely teacher of Pérotin, pioneering the Notre Dame school of polyphony which Pérotin expanded upon.",0.90,0.95,0.30,pending
leonin-1135,guillaume-de-machaut-1300,"Léonin's development of early polyphony and the Notre Dame school style laid foundational techniques that influenced Machaut's complex polyphonic compositions.",0.70,0.90,0.50,pending
perotin-1160,guillaume-de-machaut-1300,"Pérotin expanded on Léonin's polyphonic innovations, and his rhythmic modes and organum style directly impacted Machaut's approach to rhythm and texture.",0.80,0.95,0.40,pending
guillaume-de-machaut-1300,guillaume-dufay-1400,"Dufay was influenced by Machaut's use of isorhythm and the development of the formes fixes, which shaped early Renaissance polyphony.",0.80,0.90,0.40,pending
leonin-1135,guillaume-dufay-1400,"Leonin's early polyphonic innovations in organum laid foundational techniques that indirectly influenced Dufay's polyphonic style.",0.30,0.70,0.70,pending
perotin-1160,guillaume-dufay-1400,"Perotin's advancements in multi-voice organum and rhythmic modes contributed to the polyphonic tradition that Dufay inherited.",0.40,0.80,0.60,pending
guillaume-dufay-1400,johannes-ockeghem-1420,"Dufay's use of isorhythm and early Renaissance polyphony significantly shaped Ockeghem's compositional style.",0.80,0.90,0.30,pending
guillaume-de-machaut-1300,johannes-ockeghem-1420,"Machaut's complex rhythmic structures and polyphonic techniques influenced Ockeghem's approach to mass composition.",0.60,0.80,0.40,pending
guillaume-dufay-1400,jacob-obrecht-1450,"Dufay's use of cantus firmus and structural innovations in mass composition significantly shaped Obrecht's approach to polyphony.",0.80,0.90,0.30,pending
johannes-ockeghem-1420,jacob-obrecht-1450,"Ockeghem's complex contrapuntal techniques and extended melodic lines influenced Obrecht's compositional style.",0.70,0.85,0.40,pending
guillaume-dufay-1400,josquin-des-prez-1450,"Dufay's use of cantus firmus and structural clarity influenced Josquin's compositional techniques.",0.80,0.90,0.40,pending
johannes-ockeghem-1420,josquin-des-prez-1450,"Ockeghem's complex polyphony and expressive style were foundational to Josquin's development.",0.90,0.95,0.30,pending
jacob-obrecht-1450,josquin-des-prez-1450,"Obrecht's melodic inventiveness and contrapuntal skill influenced Josquin's approach to vocal writing.",0.70,0.80,0.50,pending
guillaume-de-machaut-1300,josquin-des-prez-1450,"Machaut's earlier medieval polyphonic traditions provided a historical foundation for Josquin's style.",0.40,0.70,0.70,pending
josquin-des-prez-1450,clement-janequin-1485,"Josquin's mastery of polyphonic vocal writing and expressive text setting influenced Janequin's development of chanson and programmatic vocal music.",0.80,0.90,0.40,pending
guillaume-dufay-1400,clement-janequin-1485,"Dufay's innovations in melody and harmony laid foundational techniques that Janequin built upon in his secular vocal compositions.",0.60,0.80,0.50,pending
johannes-ockeghem-1420,clement-janequin-1485,"Ockeghem's complex contrapuntal style and use of imitation influenced Janequin's approach to vocal texture and form.",0.50,0.70,0.50,pending
josquin-des-prez-1450,john-taverner-1490,"Josquin's mastery of polyphonic vocal writing and use of imitative counterpoint influenced Taverner's compositional style.",0.80,0.90,0.30,pending
jacob-obrecht-1450,john-taverner-1490,"Obrecht's complex polyphony and use of cantus firmus techniques were influential in shaping Taverner's approach to mass composition.",0.70,0.80,0.40,pending
guillaume-dufay-1400,john-taverner-1490,"Dufay's blending of medieval and early Renaissance styles provided a foundation for Taverner's harmonic and melodic language.",0.60,0.70,0.50,pending
johannes-ockeghem-1420,john-taverner-1490,"Ockeghem's innovative use of rhythm and texture influenced Taverner's development of complex polyphonic structures.",0.70,0.80,0.40,pending
guillaume-dufay-1400,thomas-tallis-1505,"Dufay's use of fauxbourdon and early Renaissance polyphony shaped the English choral tradition that Tallis inherited.",0.70,0.90,0.40,pending
johannes-ockeghem-1420,thomas-tallis-1505,"Ockeghem's complex polyphonic style influenced the development of English sacred music, impacting Tallis's contrapuntal techniques.",0.60,0.80,0.50,pending
josquin-des-prez-1450,thomas-tallis-1505,"Josquin's mastery of imitative counterpoint and expressive text setting was a model for Tallis's own sacred compositions.",0.80,0.95,0.30,pending
john-taverner-1490,thomas-tallis-1505,"Taverner was a direct predecessor in the English choral tradition, and his large-scale polyphonic works influenced Tallis's style.",0.70,0.90,0.40,pending
josquin-des-prez-1450,giovanni-pierluigi-da-palestrina-1525,"Josquin's mastery of polyphonic vocal writing and clear text setting strongly influenced Palestrina's compositional style.",0.90,0.95,0.30,pending
guillaume-dufay-1400,giovanni-pierluigi-da-palestrina-1525,"Dufay's use of smooth melodic lines and early Renaissance polyphony laid foundational techniques that Palestrina developed further.",0.70,0.85,0.40,pending
johannes-ockeghem-1420,giovanni-pierluigi-da-palestrina-1525,"Ockeghem's complex contrapuntal techniques influenced Palestrina's approach to polyphony and voice leading.",0.60,0.80,0.50,pending
thomas-tallis-1505,giovanni-pierluigi-da-palestrina-1525,"Tallis and Palestrina were contemporaries with mutual influence, but Tallis's early English polyphony helped shape Palestrina's sacred music style.",0.50,0.70,0.60,pending
josquin-des-prez-1450,orlande-de-lassus-1532,"Josquin's mastery of polyphonic vocal writing and expressive text setting significantly shaped Lassus's compositional style.",0.90,0.95,0.30,pending
giovanni-pierluigi-da-palestrina-1525,orlande-de-lassus-1532,"Palestrina's smooth polyphony and clarity of text influenced Lassus's sacred music compositions.",0.80,0.90,0.40,pending
clement-janequin-1485,orlande-de-lassus-1532,"Janequin's use of programmatic vocal effects and secular chanson style impacted Lassus's secular vocal works.",0.70,0.85,0.50,pending
thomas-tallis-1505,orlande-de-lassus-1532,"Tallis's development of English polyphony and modal harmony contributed to Lassus's approach to sacred music.",0.60,0.80,0.50,pending
thomas-tallis-1505,william-byrd-1540,"Byrd was a pupil and close associate of Thomas Tallis, adopting and expanding upon Tallis's style of English sacred polyphony.",0.90,1.00,0.20,pending
giovanni-pierluigi-da-palestrina-1525,william-byrd-1540,"Byrd was influenced by the Italian Renaissance polyphonic style exemplified by Palestrina, especially in his sacred music compositions.",0.70,0.90,0.40,pending
josquin-des-prez-1450,william-byrd-1540,"Byrd's contrapuntal techniques and imitative polyphony show the influence of Josquin's compositional style.",0.60,0.80,0.50,pending
orlande-de-lassus-1532,william-byrd-1540,"Byrd was aware of Lassus's works and incorporated elements of his expressive madrigal style into his own secular compositions.",0.50,0.70,0.50,pending
