composer_id,nationality_id,reason,confidence,status
leonin-1135,french,"Léonin was a composer associated with the Notre Dame school in Paris, indicating French cultural and geographic identity.",0.95,pending
perotin-1160,french,"Pérotin was a composer associated with the Notre Dame school in Paris, indicating French cultural and geographic identity.",0.95,pending
guillaume-de-machaut-1300,french,"Guillaume de Machaut was born and lived in the region that is now France, and is historically recognized as a French composer.",1.00,pending
guillaume-dufay-1400,french,"Guillaume Dufay was born in the region of Cambrai, which is in present-day France, and is historically considered French.",0.95,pending
johannes-ockeghem-1420,french,"Johannes Ockeghem was a composer of the Franco-Flemish school, primarily active in the region that is now France and Belgium, often associated with French cultural identity.",0.95,pending
jacob-obrecht-1450,belgian,"Jacob Obrecht was born in Ghent, which is in present-day Belgium, and is historically associated with the Burgundian Netherlands region.",0.95,pending
josquin-des-prez-1450,french,"Josquin Des Prez was born in the region of modern-day France or French-speaking areas of Belgium, traditionally considered French in cultural and historical context.",0.90,pending
josquin-des-prez-1450,belgian,"Josquin is also often associated with the Low Countries, particularly the area now known as Belgium, reflecting the historical and cultural ties of his birthplace.",0.80,pending
clement-janequin-1485,french,"Clément Janequin was born in France and is historically recognized as a French Renaissance composer.",1.00,pending
john-taverner-1490,english,"John Taverner was born in England and is historically recognized as an English composer.",1.00,pending
thomas-tallis-1505,english,"Thomas Tallis was born and lived in England, and is historically recognized as an English composer.",1.00,pending
giovanni-pierluigi-da-palestrina-1525,italian,"Giovanni Pierluigi da Palestrina was born in Italy and is historically recognized as an Italian composer.",1.00,pending
orlande-de-lassus-1532,french,"Orlande de Lassus was born in Mons, which was part of the County of Hainaut, historically linked to the French cultural sphere.",0.90,pending
william-byrd-1540,english,"William Byrd was born and lived in England, and is historically recognized as an English composer.",1.00,pending
tomas-luis-de-victoria-1549,spanish,"Tomás Luis de Victoria was born in Spain and is culturally identified as a Spanish composer.",1.00,pending
carlo-gesualdo-1561,italian,"Carlo Gesualdo was born in Italy and is historically recognized as an Italian composer.",1.00,pending
jan-pieterszoon-sweelinck-1562,dutch,"Jan Pieterszoon Sweelinck was born and lived in Amsterdam, which is in the Netherlands, making him Dutch by nationality and cultural identity.",1.00,pending
john-dowland-1563,english,"John Dowland was born in England and is historically recognized as an English composer and lutenist.",1.00,pending
claudio-monteverdi-1567,italian,"Claudio Monteverdi was born in Cremona, Italy, and is historically recognized as an Italian composer.",1.00,pending
michael-praetorius-1571,german,"Michael Praetorius was born in Germany and is historically recognized as a German composer.",1.00,pending
girolamo-frescobaldi-1583,italian,"Girolamo Frescobaldi was born in Italy and is historically recognized as an Italian composer.",1.00,pending
orlando-gibbons-1583,english,"Orlando Gibbons was born in England and is historically recognized as an English composer.",1.00,pending
heinrich-schutz-1585,german,"Heinrich Schütz was born in Köstritz, which is in present-day Germany, and is historically recognized as a German composer.",1.00,pending
jean-baptiste-lully-1632,french,"Jean-Baptiste Lully was born in Italy but became a naturalized French citizen and is culturally identified as French due to his significant contributions to French Baroque music.",0.95,pending
marc-antoine-charpentier-1636,french,"Marc-Antoine Charpentier was born in France and is culturally identified as a French composer.",1.00,pending
dietrich-buxtehude-1637,german,"Dietrich Buxtehude was born in Helsingborg, which was part of Denmark at the time but culturally and linguistically German; he is historically considered a German composer.",0.95,pending
dietrich-buxtehude-1637,danish,"Although not in the provided list, Buxtehude was born in a Danish territory; however, Danish is not an available nationality option here.",0.00,pending
heinrich-franz-von-biber-1644,austrian,"Heinrich Franz von Biber was born in the region that is now Austria and is historically considered an Austrian composer.",0.95,pending
johann-pachelbel-1653,german,"Johann Pachelbel was born in Nuremberg, which is in present-day Germany, and is historically recognized as a German composer.",1.00,pending
arcangelo-corelli-1653,italian,"Arcangelo Corelli was born in Fusignano, Italy, and is historically recognized as an Italian composer.",1.00,pending
marin-marais-1656,french,"Marin Marais was born in France and is historically recognized as a French composer.",1.00,pending
